REGION,STATE,CITY,POPULATION
Midwest,Nebraska,"Genoa, NE",956
Midwest,Iowa,"Keota, IA",955
Midwest,Nebraska,"Bloomfield, NE",955
Midwest,Iowa,"Odebolt, IA",953
Midwest,Nebraska,"Crawford, NE",953
Midwest,Iowa,"Wayland, IA",952
Midwest,Missouri,"Drexel, MO",952
Midwest,Missouri,"Miner, MO",952
South,Texas,"Bremond, TX",952
Midwest,Iowa,"Hinton, IA",950
Midwest,Kansas,"Riley, KS",950
South,Kentucky,"Uniontown, KY",950
Midwest,Minnesota,"Nashwauk, MN",950
South,Tennessee,"Collinwood, TN",949
Midwest,Iowa,"Underwood, IA",948
Midwest,South Dakota,"Whitewood, SD",947
Pacific,Washington,"Roslyn, WA",947
Midwest,Kansas,"Montezuma, KS",945
Pacific,Washington,"Ilwaco, WA",945
Midwest,Iowa,"Princeton, IA",943
